Date,Close,High,Low,Open,Volume
2025-03-03 09:15:00+05:30,22255.75,22261.349609375,22194.55078125,22194.55078125,0
2025-03-03 09:20:00+05:30,22185.650390625,22257.650390625,22178.150390625,22253.75,0
2025-03-03 09:25:00+05:30,22174.349609375,22199.099609375,22155.349609375,22188.599609375,0
2025-03-03 09:30:00+05:30,22171.150390625,22180.55078125,22153.150390625,22174.55078125,0
2025-03-03 09:35:00+05:30,22184.75,22186.05078125,22153.69921875,22170.099609375,0
2025-03-03 09:40:00+05:30,22129.900390625,22189.25,22128.0,22184.5,0
2025-03-03 09:45:00+05:30,22086.80078125,22133.0,22080.94921875,22130.349609375,0
2025-03-03 09:50:00+05:30,22054.099609375,22088.400390625,22053.5,22086.19921875,0
2025-03-03 09:55:00+05:30,22066.25,22075.69921875,22050.94921875,22053.650390625,0
2025-03-03 10:00:00+05:30,22042.150390625,22072.19921875,22030.599609375,22067.5,0
2025-03-03 10:05:00+05:30,22017.55078125,22043.44921875,22012.599609375,22041.19921875,0
2025-03-03 10:10:00+05:30,22024.80078125,22035.599609375,22013.44921875,22018.80078125,0
2025-03-03 10:15:00+05:30,22060.25,22061.94921875,22022.80078125,22024.900390625,0
2025-03-03 10:20:00+05:30,22051.349609375,22061.5,22035.0,22058.44921875,0
2025-03-03 10:25:00+05:30,22099.599609375,22104.19921875,22045.19921875,22051.349609375,0
2025-03-03 10:30:00+05:30,22059.94921875,22100.900390625,22052.099609375,22100.19921875,0
2025-03-03 10:35:00+05:30,22075.650390625,22081.44921875,22046.75,22059.349609375,0
2025-03-03 10:40:00+05:30,22046.44921875,22076.150390625,22038.400390625,22075.400390625,0
2025-03-03 10:45:00+05:30,22074.94921875,22080.099609375,22042.55078125,22046.0,0
2025-03-03 10:50:00+05:30,22052.30078125,22078.650390625,22049.650390625,22074.80078125,0
2025-03-03 10:55:00+05:30,22044.599609375,22053.69921875,22035.099609375,22052.75,0
2025-03-03 11:00:00+05:30,22017.05078125,22049.849609375,22015.30078125,22045.099609375,0
2025-03-03 11:05:00+05:30,22031.25,22036.599609375,22011.69921875,22017.75,0
2025-03-03 11:10:00+05:30,22031.349609375,22034.150390625,22006.25,22031.44921875,0
2025-03-03 11:15:00+05:30,22011.900390625,22032.69921875,22008.0,22031.599609375,0
2025-03-03 11:20:00+05:30,22027.099609375,22027.599609375,22005.0,22011.94921875,0
2025-03-03 11:25:00+05:30,22031.75,22036.44921875,22022.5,22027.44921875,0
2025-03-03 11:30:00+05:30,22038.69921875,22044.25,22024.0,22031.44921875,0
2025-03-03 11:35:00+05:30,22020.349609375,22038.349609375,22010.5,22038.150390625,0
2025-03-03 11:40:00+05:30,22017.75,22028.55078125,22013.75,22019.55078125,0
2025-03-03 11:45:00+05:30,22032.80078125,22040.30078125,22016.849609375,22016.849609375,0
